User,Bot,formatted
what is the best mri weighting for ring enhancing lesions?,t2,"User: what is the best mri weighting for ring enhancing lesions? 
Bot: t2
"
can you see both kidneys in this image?,yes,"User: can you see both kidneys in this image? 
Bot: yes
"
is the skull fractured?,no,"User: is the skull fractured? 
Bot: no
"
in what system is the pathology?,gi,"User: in what system is the pathology? 
Bot: gi
"
how can you tell if contrast has been utilized?,csf is brightly lit,"User: how can you tell if contrast has been utilized? 
Bot: csf is brightly lit
"
are the findings normal?,yes,"User: are the findings normal? 
Bot: yes
"
are there >5 lymph nodes located near the stomach?,yes,"User: are there >5 lymph nodes located near the stomach? 
Bot: yes
"
are the basal ganglia enlarged?,no,"User: are the basal ganglia enlarged? 
Bot: no
"
are the hemidiaphragms flattened?,no,"User: are the hemidiaphragms flattened? 
Bot: no
"
is this confirmed appendicitis?,no,"User: is this confirmed appendicitis? 
Bot: no
"
is there a fracture?,no,"User: is there a fracture? 
Bot: no
"
is there a pneumothorax present?,no,"User: is there a pneumothorax present? 
Bot: no
"
where is the aneurysm located?,in the thorasic aorta,"User: where is the aneurysm located? 
Bot: in the thorasic aorta
"
is this in the pa plane?,yes,"User: is this in the pa plane? 
Bot: yes
"
what is the bump seen above the heart on the patient's right side?,right sided aortic arch,"User: what is the bump seen above the heart on the patient's right side? 
Bot: right sided aortic arch
"
was this patient given iv contrast?,yes,"User: was this patient given iv contrast? 
Bot: yes
"
is there contrast used?,no,"User: is there contrast used? 
Bot: no
"
does the heart appear enlarged?,yes,"User: does the heart appear enlarged? 
Bot: yes
"
is the sigmoid colon visualized at this axial section?,yes,"User: is the sigmoid colon visualized at this axial section? 
Bot: yes
"
location of the multiple infarcts?,cerebellum,"User: location of the multiple infarcts? 
Bot: cerebellum
"
are the vertebral arteries patent in this section?,yes,"User: are the vertebral arteries patent in this section? 
Bot: yes
"
do the left and right middle cerebral arteries appear patent on this section?,yes,"User: do the left and right middle cerebral arteries appear patent on this section? 
Bot: yes
"
what are the lesions indicative of?,adenopathy,"User: what are the lesions indicative of? 
Bot: adenopathy
"
are there cilia present at the level of alveoli?,no,"User: are there cilia present at the level of alveoli? 
Bot: no
"
is there gastric fullness?,yes,"User: is there gastric fullness? 
Bot: yes
"
does there seem to be a mass effect?,yes,"User: does there seem to be a mass effect? 
Bot: yes
"
can you appreciate inflammation?,yes,"User: can you appreciate inflammation? 
Bot: yes
"
can a diagnosis or impression be made in this plane?,yes,"User: can a diagnosis or impression be made in this plane? 
Bot: yes
"
what lobe of the brain is the lesion located in?,right frontal lobe,"User: what lobe of the brain is the lesion located in? 
Bot: right frontal lobe
"
what side of the abdomen is the aorta on?,left,"User: what side of the abdomen is the aorta on? 
Bot: left
"
is the abdominal aorta large in size?,no,"User: is the abdominal aorta large in size? 
Bot: no
"
is the cerebellum present in the image?,no,"User: is the cerebellum present in the image? 
Bot: no
"
is this a solid or cystic lesion?,solid,"User: is this a solid or cystic lesion? 
Bot: solid
"
is there gall bladder pathology?,no,"User: is there gall bladder pathology? 
Bot: no
"
what imaging modality was used?,ct,"User: what imaging modality was used? 
Bot: ct
"
is this the small bowel on this image?,yes,"User: is this the small bowel on this image? 
Bot: yes
"
what is the abnormality?,single lung nodule,"User: what is the abnormality? 
Bot: single lung nodule
"
is there a mass?,yes,"User: is there a mass? 
Bot: yes
"
what indicates a pleural effusion?,costophrenic angle blunting,"User: what indicates a pleural effusion? 
Bot: costophrenic angle blunting
"
is this a normal image?,no,"User: is this a normal image? 
Bot: no
"
what is most likely causing these lesions?,cva,"User: what is most likely causing these lesions? 
Bot: cva
"
how many masses are there?,one,"User: how many masses are there? 
Bot: one
"
where is the mass located?,posterior fossa,"User: where is the mass located? 
Bot: posterior fossa
"
is there a skull fracture present?,no,"User: is there a skull fracture present? 
Bot: no
"
is the trachea midline?,in the midline,"User: is the trachea midline? 
Bot: in the midline
"
is there thickening of the gastric wall?,yes,"User: is there thickening of the gastric wall? 
Bot: yes
"
is there evidence of intraparenchymal lung nodules?,no,"User: is there evidence of intraparenchymal lung nodules? 
Bot: no
"
is the vertebro-basilar arterial network viewed in this section?,yes,"User: is the vertebro-basilar arterial network viewed in this section? 
Bot: yes
"
is this an axial image?,yes,"User: is this an axial image? 
Bot: yes
"
what is not pictured in this image?,the extremities,"User: what is not pictured in this image? 
Bot: the extremities
"
is the cardiac silhouette enlarged?,yes,"User: is the cardiac silhouette enlarged? 
Bot: yes
"
is bowel distension present?,no,"User: is bowel distension present? 
Bot: no
"
what plane is this image in?,axial,"User: what plane is this image in? 
Bot: axial
"
where can omental caking be seen in this image?,left lateral aspect of anterior peritoneum,"User: where can omental caking be seen in this image? 
Bot: left lateral aspect of anterior peritoneum
"
are the liver 	splee n	stomac h	and esophagus all visualized in this image?,yes,"User: are the liver 	splee n	stomac h	and esophagus all visualized in this image? 
Bot: yes
"
is there involvement of the caudate nucleus?,yes,"User: is there involvement of the caudate nucleus? 
Bot: yes
"
is the size of the spleen normal?,yes,"User: is the size of the spleen normal? 
Bot: yes
"
is there no definitive border between the grey matter and white matter in the right temporal lobe?,yes,"User: is there no definitive border between the grey matter and white matter in the right temporal lobe? 
Bot: yes
"
does this patient have cardiomegaly?,no,"User: does this patient have cardiomegaly? 
Bot: no
"
is the duodenum edematous?,yes,"User: is the duodenum edematous? 
Bot: yes
"
is this image best taken on expiration?,no,"User: is this image best taken on expiration? 
Bot: no
"
is this image abnormal?,yes,"User: is this image abnormal? 
Bot: yes
"
are these normal looking kidneys?,yes,"User: are these normal looking kidneys? 
Bot: yes
"
what is the cause of this finding: medical process or physical injury?,medical process,"User: what is the cause of this finding: medical process or physical injury? 
Bot: medical process
"
is there air under the diaphragm?,no,"User: is there air under the diaphragm? 
Bot: no
"
what density is the abnormality?,hypodense,"User: what density is the abnormality? 
Bot: hypodense
"
is the mass calcified?,yes,"User: is the mass calcified? 
Bot: yes
"
is the structure cystic?,yes,"User: is the structure cystic? 
Bot: yes
"
is there abnormal air present under the diaphragm?,no,"User: is there abnormal air present under the diaphragm? 
Bot: no
"
is there grey-white matter differentiation?,yes,"User: is there grey-white matter differentiation? 
Bot: yes
"
in what plane is this mri taken?,axial,"User: in what plane is this mri taken? 
Bot: axial
"
is this an axial plane?,yes,"User: is this an axial plane? 
Bot: yes
"
is this image normal?,no,"User: is this image normal? 
Bot: no
"
what system is this pathology in?,gi,"User: what system is this pathology in? 
Bot: gi
"
what pathology is shown?,left apical pneumothorax,"User: what pathology is shown? 
Bot: left apical pneumothorax
"
"what is denser, the lesion or the surrounding tissue?",the surrounding tissue,"User: what is denser, the lesion or the surrounding tissue? 
Bot: the surrounding tissue
"
is anything irregular in this image?,yes,"User: is anything irregular in this image? 
Bot: yes
"
in which lobe is the cyst?,right frontal lobe,"User: in which lobe is the cyst? 
Bot: right frontal lobe
"
is there ring-enhancement?,yes,"User: is there ring-enhancement? 
Bot: yes
"
is there evidence of pneumoperitoneum?,yes,"User: is there evidence of pneumoperitoneum? 
Bot: yes
"
was the patient given oral contrast?,yes,"User: was the patient given oral contrast? 
Bot: yes
"
is there a mass in the right hilum?,no,"User: is there a mass in the right hilum? 
Bot: no
"
what lobe of the brain is the lesion found in?,the right frontal lobe,"User: what lobe of the brain is the lesion found in? 
Bot: the right frontal lobe
"
the abscess is located in what structure?,descending colon,"User: the abscess is located in what structure? 
Bot: descending colon
"
what is the foreign body,sternotomy wires and surgical clips,"User: what is the foreign body 
Bot: sternotomy wires and surgical clips
"
on which side of the brain is the infarction?,right side,"User: on which side of the brain is the infarction? 
Bot: right side
"
how can you tell if it�s the common bile duct vs the cystic duct?,trace the gallbladder emptying?,"User: how can you tell if it�s the common bile duct vs the cystic duct? 
Bot: trace the gallbladder emptying?
"
how do you determine cardiomegaly?,if the heart diameter is greater than half the diameter of the thoracic cavity.,"User: how do you determine cardiomegaly? 
Bot: if the heart diameter is greater than half the diameter of the thoracic cavity.
"
which lung has more extensive infiltration?,left,"User: which lung has more extensive infiltration? 
Bot: left
"
is the heart enlarged?,no,"User: is the heart enlarged? 
Bot: no
"
what imaging modality was used?,mr - flair,"User: what imaging modality was used? 
Bot: mr - flair
"
is there contrast used in the above image?,yes,"User: is there contrast used in the above image? 
Bot: yes
"
are the ventricles symmetrical?,no,"User: are the ventricles symmetrical? 
Bot: no
"
where is the lung lesion located?,right lung,"User: where is the lung lesion located? 
Bot: right lung
"
how common is bilateral wilms?,not sure.,"User: how common is bilateral wilms? 
Bot: not sure.
"
how many kidneys are visualizable in this image?,2,"User: how many kidneys are visualizable in this image? 
Bot: 2
"
what are the possible diagnoses?,"toxoplasma, lymphoma, abscesses, other brain tumors","User: what are the possible diagnoses? 
Bot: toxoplasma, lymphoma, abscesses, other brain tumors
"
is there a pelvic fracture?,no,"User: is there a pelvic fracture? 
Bot: no
"
does this radiograph contain parts of the cardiovascular system?,yes,"User: does this radiograph contain parts of the cardiovascular system? 
Bot: yes
"
is the peritoneum thickened?,yes,"User: is the peritoneum thickened? 
Bot: yes
"
is this mri taken with flair protocol?,yes,"User: is this mri taken with flair protocol? 
Bot: yes
"
what type of imaging is this?,mri diffusion weighted,"User: what type of imaging is this? 
Bot: mri diffusion weighted
"
is there evidence of free peritoneal fluid?,no,"User: is there evidence of free peritoneal fluid? 
Bot: no
"
is a cystic cavity present in the left kidney on this image?,no,"User: is a cystic cavity present in the left kidney on this image? 
Bot: no
"
the image above shows an abnormality where?,hyperintensity of the left basal ganglia,"User: the image above shows an abnormality where? 
Bot: hyperintensity of the left basal ganglia
"
where is the lesion located?,right lobe,"User: where is the lesion located? 
Bot: right lobe
"
please identify the foreign body.,a catheter,"User: please identify the foreign body. 
Bot: a catheter
"
is the diaphragm clearly visualized on both sides?,yes,"User: is the diaphragm clearly visualized on both sides? 
Bot: yes
"
describe the lesions in the right kidney?,cystic lesions,"User: describe the lesions in the right kidney? 
Bot: cystic lesions
"
where is the lesion?,in the right hilum,"User: where is the lesion? 
Bot: in the right hilum
"
is there air-fluid levels?,yes,"User: is there air-fluid levels? 
Bot: yes
"
what imaging modality was used?,x-ray,"User: what imaging modality was used? 
Bot: x-ray
"
is the liver normal in size?,no,"User: is the liver normal in size? 
Bot: no
"
is this a mri of the chest?,no,"User: is this a mri of the chest? 
Bot: no
"
are the cystic and common bile ducts dilated?,yes,"User: are the cystic and common bile ducts dilated? 
Bot: yes
"
is this a ct image?,no,"User: is this a ct image? 
Bot: no
"
what is happening with the path of the trachea?,it is shifted to the right,"User: what is happening with the path of the trachea? 
Bot: it is shifted to the right
"
is the mass hyperintense or hypointense?,hyperintense,"User: is the mass hyperintense or hypointense? 
Bot: hyperintense
"
is it possible to identify the right renal vein?,no,"User: is it possible to identify the right renal vein? 
Bot: no
"
what plane of the abdomen is this image?,axial,"User: what plane of the abdomen is this image? 
Bot: axial
"
is there any shifting on the path of the trachea?,no,"User: is there any shifting on the path of the trachea? 
Bot: no
"
is this film taken in a pa modality?,yes,"User: is this film taken in a pa modality? 
Bot: yes
"
what parts of the lung fields contain the most prominent ground glass opacities?,lower lung fields,"User: what parts of the lung fields contain the most prominent ground glass opacities? 
Bot: lower lung fields
"
what makes a lesion less acute?,less enhancement,"User: what makes a lesion less acute? 
Bot: less enhancement
"
are there abnormal findings?,yes,"User: are there abnormal findings? 
Bot: yes
"
what vein is the central venous catheter located in the patient?,right subclavian vein,"User: what vein is the central venous catheter located in the patient? 
Bot: right subclavian vein
"
in which side is the hemidiaphragm elevated?,right,"User: in which side is the hemidiaphragm elevated? 
Bot: right
"
what did the patient likely complain of?,abdominal pain,"User: what did the patient likely complain of? 
Bot: abdominal pain
"
is the stomach thickening regular and uniform or ragged/asymmetrical?,asymmetric,"User: is the stomach thickening regular and uniform or ragged/asymmetrical? 
Bot: asymmetric
"
what vessel is likely the cause of this infarction?,left mca,"User: what vessel is likely the cause of this infarction? 
Bot: left mca
"
is this a lateral film?,no,"User: is this a lateral film? 
Bot: no
"
what type of imaging modality is this?,xray - plain film,"User: what type of imaging modality is this? 
Bot: xray - plain film
"
does this image use gi contrast?,yes,"User: does this image use gi contrast? 
Bot: yes
"
what type of hemorrhage is shown?,subarachnoid,"User: what type of hemorrhage is shown? 
Bot: subarachnoid
"
imaging modality used to take this image?,pa xray,"User: imaging modality used to take this image? 
Bot: pa xray
"
is this a study of the brain?,no,"User: is this a study of the brain? 
Bot: no
"
are any fractures present?,no,"User: are any fractures present? 
Bot: no
"
are there any abnormal hypodense lesions in the liver?,no,"User: are there any abnormal hypodense lesions in the liver? 
Bot: no
"
is there cortical atrophy?,no,"User: is there cortical atrophy? 
Bot: no
"
what plane was this image taken in?,axial,"User: what plane was this image taken in? 
Bot: axial
"
what are the findings in the sigmoid colon?,diverticuli,"User: what are the findings in the sigmoid colon? 
Bot: diverticuli
"
where is the pathology in this image?,vasculature,"User: where is the pathology in this image? 
Bot: vasculature
"
is subcutaneous air present?,no,"User: is subcutaneous air present? 
Bot: no
"
what plane is demonstrated?,coronal,"User: what plane is demonstrated? 
Bot: coronal
"
is there good gray-white matter differentiation?,yes,"User: is there good gray-white matter differentiation? 
Bot: yes
"
are there multiple circumferential opacities located throughout all lung fields?,yes,"User: are there multiple circumferential opacities located throughout all lung fields? 
Bot: yes
"
any tracheal deviation present?,no,"User: any tracheal deviation present? 
Bot: no
"
what is the observed sign of pulmonary consolidation on the right side?,"blunting of the costophrenic angle, loss of the right hemidiaphragm and right heart border","User: what is the observed sign of pulmonary consolidation on the right side? 
Bot: blunting of the costophrenic angle, loss of the right hemidiaphragm and right heart border
"
what is the plane?,axial,"User: what is the plane? 
Bot: axial
"
is there contrast material showing air-fluid levels in the small bowel,yes,"User: is there contrast material showing air-fluid levels in the small bowel 
Bot: yes
"
is there an interstitial lung process?,yes,"User: is there an interstitial lung process? 
Bot: yes
"
which lobe is the lesion in?,left occipital lobe,"User: which lobe is the lesion in? 
Bot: left occipital lobe
"
is this a normal image?,no,"User: is this a normal image? 
Bot: no
"
what is the primary pathology,ring enhancing lesion in the left occipital lobe,"User: what is the primary pathology 
Bot: ring enhancing lesion in the left occipital lobe
"
the infarcts seen are most likely what type?,punctate,"User: the infarcts seen are most likely what type? 
Bot: punctate
"
is there tracheal deviation?,no,"User: is there tracheal deviation? 
Bot: no
"
is the trachea midline?,yes,"User: is the trachea midline? 
Bot: yes
"
what are the lesions consistent with?,infection,"User: what are the lesions consistent with? 
Bot: infection
"
where is the mass located in relation to the left kidney?,posteriorly,"User: where is the mass located in relation to the left kidney? 
Bot: posteriorly
"
is this an axial plane,yes,"User: is this an axial plane 
Bot: yes
"
is there air in the bowel?,yes,"User: is there air in the bowel? 
Bot: yes
"
did this patient receive iv contrast?,yes,"User: did this patient receive iv contrast? 
Bot: yes
"
can you name the organ captured by this image?,brain,"User: can you name the organ captured by this image? 
Bot: brain
"
are the lungs increased in size?,no,"User: are the lungs increased in size? 
Bot: no
"
is the vertebra fractured?,no,"User: is the vertebra fractured? 
Bot: no
"
is the air under the left hemidiaphragm pathologic?,no,"User: is the air under the left hemidiaphragm pathologic? 
Bot: no
"
how was this x-ray taken?,pa,"User: how was this x-ray taken? 
Bot: pa
"
what is the term for the sign in this image?,right vertebral artery sign,"User: what is the term for the sign in this image? 
Bot: right vertebral artery sign
"
which image modality is this?,mr flair,"User: which image modality is this? 
Bot: mr flair
"
is there a pneumothorax present?,yes,"User: is there a pneumothorax present? 
Bot: yes
"
is the csf radiolucent or radioopaque?,radiolucent,"User: is the csf radiolucent or radioopaque? 
Bot: radiolucent
"
what is the condition seen in this image?,small subdural hematoma with cerebral edema,"User: what is the condition seen in this image? 
Bot: small subdural hematoma with cerebral edema
"
this radiograph contains what foreign body?,sternotomy wires and surgical clips,"User: this radiograph contains what foreign body? 
Bot: sternotomy wires and surgical clips
"
is the lesion on the patient's right or left side?,left side,"User: is the lesion on the patient's right or left side? 
Bot: left side
"
where is the abnormality in this image?,basal ganglia,"User: where is the abnormality in this image? 
Bot: basal ganglia
"
are the ventricles the same size?,no,"User: are the ventricles the same size? 
Bot: no
"
is there evidence of a small bowel obstruction with perforated viscus on this ct?,yes,"User: is there evidence of a small bowel obstruction with perforated viscus on this ct? 
Bot: yes
"
is the mass enhancing?,no,"User: is the mass enhancing? 
Bot: no
"
why is the left hemithorax more lucent?,decreased muscle bulk,"User: why is the left hemithorax more lucent? 
Bot: decreased muscle bulk
"
is the diaphragm obscured?,no,"User: is the diaphragm obscured? 
Bot: no
"
what level is the abnormality located at?,t5,"User: what level is the abnormality located at? 
Bot: t5
"
what is the most likely diagnosis?,epidural hematoma,"User: what is the most likely diagnosis? 
Bot: epidural hematoma
"
does this patient have a pneumothorax?,yes,"User: does this patient have a pneumothorax? 
Bot: yes
"
is there evidence of inflammation?,yes,"User: is there evidence of inflammation? 
Bot: yes
"
is this a solitary nodule?,yes,"User: is this a solitary nodule? 
Bot: yes
"
what is the organ system in this image?,brain,"User: what is the organ system in this image? 
Bot: brain
"
is the contrast in the bowels or the vasculature?,in the vasculature,"User: is the contrast in the bowels or the vasculature? 
Bot: in the vasculature
"
is there right hemidiaphragm elevation?,yes,"User: is there right hemidiaphragm elevation? 
Bot: yes
"
how do you determine if the heart is enlarged?,c-t ratio,"User: how do you determine if the heart is enlarged? 
Bot: c-t ratio
"
approximately how much time was required to obtain this image?,10-20 minutes,"User: approximately how much time was required to obtain this image? 
Bot: 10-20 minutes
"
what part of the body is being imaged?,the abdomen,"User: what part of the body is being imaged? 
Bot: the abdomen
"
what type of thrombosis is shown?,basilar artery thrombosis,"User: what type of thrombosis is shown? 
Bot: basilar artery thrombosis
"
is this taken in the axial plane?,yes,"User: is this taken in the axial plane? 
Bot: yes
"
is there bilateral hilar enlargement?,yes,"User: is there bilateral hilar enlargement? 
Bot: yes
"
is there an air fluid level present?,yes,"User: is there an air fluid level present? 
Bot: yes
"
what type of mri sequence is this?,diffusion weighted imaging (dwi),"User: what type of mri sequence is this? 
Bot: diffusion weighted imaging (dwi)
"
where are the nodules located?,bilateral lungs,"User: where are the nodules located? 
Bot: bilateral lungs
"
is/are the mass located near/in the mid brain?,yes,"User: is/are the mass located near/in the mid brain? 
Bot: yes
"
where are the hyperintensities located?,bilateral frontal lobes and body of corpus callosum,"User: where are the hyperintensities located? 
Bot: bilateral frontal lobes and body of corpus callosum
"
is anything wrong in the image?,yes,"User: is anything wrong in the image? 
Bot: yes
"
how would you describe the liver?,shrunken and nodular,"User: how would you describe the liver? 
Bot: shrunken and nodular
"
is there evidence of midlight shift of structures on this mri?,yes,"User: is there evidence of midlight shift of structures on this mri? 
Bot: yes
"
where is the lesion located in this image?,right lobe of the liver,"User: where is the lesion located in this image? 
Bot: right lobe of the liver
"
is the mass compressing the mid brain on this section?,yes,"User: is the mass compressing the mid brain on this section? 
Bot: yes
"
how wide is the cardiac shadow?,less than half the thorax,"User: how wide is the cardiac shadow? 
Bot: less than half the thorax
"
does the width of the heart exceed more than half of the thorax?,no,"User: does the width of the heart exceed more than half of the thorax? 
Bot: no
"
is the lesion in the image enhancing?,no,"User: is the lesion in the image enhancing? 
Bot: no
"
is this xray suggestive of aortic dissection?,no,"User: is this xray suggestive of aortic dissection? 
Bot: no
"
is this image plane taken inferior to the liver?,yes,"User: is this image plane taken inferior to the liver? 
Bot: yes
"
what do the hyperintensities likely represent?,hemorrhage,"User: what do the hyperintensities likely represent? 
Bot: hemorrhage
"
which kidney has abnormalities?,right,"User: which kidney has abnormalities? 
Bot: right
"
is there a subdural hematoma?,no,"User: is there a subdural hematoma? 
Bot: no
"
where is the nodule?,below the 7th rib in the right lung.,"User: where is the nodule? 
Bot: below the 7th rib in the right lung.
"
is the renal mass distending the abdominal wall?,a bit,"User: is the renal mass distending the abdominal wall? 
Bot: a bit
"
does the patient have ascites?,yes,"User: does the patient have ascites? 
Bot: yes
"
is there evidence of herniation of the small bowel into the abdominal wall?,no,"User: is there evidence of herniation of the small bowel into the abdominal wall? 
Bot: no
"
was iv contrast given to the patient?,yes,"User: was iv contrast given to the patient? 
Bot: yes
"
what type of mri is used to acquire this image?,t2 weighted,"User: what type of mri is used to acquire this image? 
Bot: t2 weighted
"
is the opacity located in the middle of the image inside the patient or superficial to the patient's skin?,superficial to the patient's skin,"User: is the opacity located in the middle of the image inside the patient or superficial to the patient's skin? 
Bot: superficial to the patient's skin
"
is the cardiac contour normal in shape?,yes,"User: is the cardiac contour normal in shape? 
Bot: yes
"
can you evaluate the kidneys 	bladde r	or ureters in this image?,no,"User: can you evaluate the kidneys 	bladde r	or ureters in this image? 
Bot: no
"
is there herniation of the brainstem secondary to the lesion,no,"User: is there herniation of the brainstem secondary to the lesion 
Bot: no
"
where is the hypodensity located?,right lobe of the liver,"User: where is the hypodensity located? 
Bot: right lobe of the liver
"
what else do you need in order to localize lesions on a cxr?,lateral film as well as pa,"User: what else do you need in order to localize lesions on a cxr? 
Bot: lateral film as well as pa
"
was this image taken with an mri or ct scanner?,ct,"User: was this image taken with an mri or ct scanner? 
Bot: ct
"
why does less enhancement mean less acute?,more acute means more inflammation-leading to enhancement?,"User: why does less enhancement mean less acute? 
Bot: more acute means more inflammation-leading to enhancement?
"
can you view the colon in this image?,yes,"User: can you view the colon in this image? 
Bot: yes
"
what type of imaging modality is seen in this image?,x-ray plain film,"User: what type of imaging modality is seen in this image? 
Bot: x-ray plain film
"
is the heart abnormal?,yes,"User: is the heart abnormal? 
Bot: yes
"
has the gallbladder been removed?,yes,"User: has the gallbladder been removed? 
Bot: yes
"
are the lateral ventricles compressed?,yes,"User: are the lateral ventricles compressed? 
Bot: yes
"
"besides the intestines, what other organs are present?",kidneys,"User: besides the intestines, what other organs are present? 
Bot: kidneys
"
is there fat in these masses?,yes,"User: is there fat in these masses? 
Bot: yes
"
where are the enlarged feeding arteries located?,occipital lobe,"User: where are the enlarged feeding arteries located? 
Bot: occipital lobe
"
is there hyperinflation of the lung(s)?,no,"User: is there hyperinflation of the lung(s)? 
Bot: no
"
how would you describe the mass?,isointense,"User: how would you describe the mass? 
Bot: isointense
"
is this patient intubated?,no,"User: is this patient intubated? 
Bot: no
"
in what plane is this image taken?,axial,"User: in what plane is this image taken? 
Bot: axial
"
any evidence of epidural or subdural hematoma?,no,"User: any evidence of epidural or subdural hematoma? 
Bot: no
"
which part of the bowel is involved by the mass?,jejunum,"User: which part of the bowel is involved by the mass? 
Bot: jejunum
"
what is seen in the occipital lobe?,ring enhancing lesion,"User: what is seen in the occipital lobe? 
Bot: ring enhancing lesion
"
what is the foreign body?,a catheter,"User: what is the foreign body? 
Bot: a catheter
"
where is the lesion?,right,"User: where is the lesion? 
Bot: right
"
what can cause asymmetrical breasts?,prior surgery,"User: what can cause asymmetrical breasts? 
Bot: prior surgery
"
where is the abnormality?,right lobe of the liver,"User: where is the abnormality? 
Bot: right lobe of the liver
"
are feces located in the colon?,yes,"User: are feces located in the colon? 
Bot: yes
"
anything abnormal in this image?,no,"User: anything abnormal in this image? 
Bot: no
"
what plane of section is the brain taken in?,axial,"User: what plane of section is the brain taken in? 
Bot: axial
"
how many masses are there?,one,"User: how many masses are there? 
Bot: one
"
is there contrast in the colonic lumen?,yes,"User: is there contrast in the colonic lumen? 
Bot: yes
"
are there any fractures in this image?,no,"User: are there any fractures in this image? 
Bot: no
"
where are the densities identified in the patient?,posterior to the gastric antrum,"User: where are the densities identified in the patient? 
Bot: posterior to the gastric antrum
"
is this an ap or pa film?,pa,"User: is this an ap or pa film? 
Bot: pa
"
how was this film taken?,pa,"User: how was this film taken? 
Bot: pa
"
is cardiomegaly present?,yes,"User: is cardiomegaly present? 
Bot: yes
"
what caused the lesion?,metastasis,"User: what caused the lesion? 
Bot: metastasis
"
is there fluid in the anterior abdominal wall?,no,"User: is there fluid in the anterior abdominal wall? 
Bot: no
"
what imaging modality is seen?,x-ray,"User: what imaging modality is seen? 
Bot: x-ray
"
how can you tell there is no pneumothorax present?,lung markings present all the way laterally to the ribs,"User: how can you tell there is no pneumothorax present? 
Bot: lung markings present all the way laterally to the ribs
"
can you see kidneys in this image,yes,"User: can you see kidneys in this image 
Bot: yes
"
is there any mass shift?,no,"User: is there any mass shift? 
Bot: no
"
is the trachea deviated?,no,"User: is the trachea deviated? 
Bot: no
"
are there abnormalities?,yes,"User: are there abnormalities? 
Bot: yes
"
does this ct have contrast or no contrast?,contrast,"User: does this ct have contrast or no contrast? 
Bot: contrast
"
is tracheal deviation present?,yes,"User: is tracheal deviation present? 
Bot: yes
"
which plane is the image in?,axial,"User: which plane is the image in? 
Bot: axial
"
is there pneumoperitoneum?,no,"User: is there pneumoperitoneum? 
Bot: no
"
what cranial nerves may be affected by the lesion seen in the above image?,oculomotor nerve (cn iii) and trigeminal nerves (cn v),"User: what cranial nerves may be affected by the lesion seen in the above image? 
Bot: oculomotor nerve (cn iii) and trigeminal nerves (cn v)
"
do the lung markings extend to the periphery?,yes,"User: do the lung markings extend to the periphery? 
Bot: yes
"
is the celiac trunk patent?,yes,"User: is the celiac trunk patent? 
Bot: yes
"
in which lobe is the enhancement?,right frontal lobe,"User: in which lobe is the enhancement? 
Bot: right frontal lobe
"
is there bulging of structures in this image?,yes,"User: is there bulging of structures in this image? 
Bot: yes
"
is there evidence of hilar enlargement?,no,"User: is there evidence of hilar enlargement? 
Bot: no
"
what shape is the lesion in a subdural hematoma?,concave,"User: what shape is the lesion in a subdural hematoma? 
Bot: concave
"
is the gb normal?,yes,"User: is the gb normal? 
Bot: yes
"
is there cardiomegaly?,no,"User: is there cardiomegaly? 
Bot: no
"
can you see the adrenals?,no,"User: can you see the adrenals? 
Bot: no
"
"what is the alternate name for lens-shaped""""",lentiform,"User: what is the alternate name for lens-shaped"""" 
Bot: lentiform
"
is there a pneumothorax?,no,"User: is there a pneumothorax? 
Bot: no
"
are there rib fractures present?,no,"User: are there rib fractures present? 
Bot: no
"
what plane is the image in?,axial,"User: what plane is the image in? 
Bot: axial
"
is the inferior vena cava compressed by the tumor?,no,"User: is the inferior vena cava compressed by the tumor? 
Bot: no
"
is there a calcification on the upper left lobe?,no,"User: is there a calcification on the upper left lobe? 
Bot: no
"
in what position was the patient in when this image was taken?,semi-upright position,"User: in what position was the patient in when this image was taken? 
Bot: semi-upright position
"
are there any bone fractures present?,no,"User: are there any bone fractures present? 
Bot: no
"
which lobe is infarcted,right parietal,"User: which lobe is infarcted 
Bot: right parietal
"
what symptoms would this patient present with?,"ruq pain, jaundice,weight loss?","User: what symptoms would this patient present with? 
Bot: ruq pain, jaundice,weight loss?
"
are the sinuses abnormal?,no,"User: are the sinuses abnormal? 
Bot: no
"
the enhancing soft tissue mass and fluid seen in the left upper quadrant is consistent with what pathology?,abscess,"User: the enhancing soft tissue mass and fluid seen in the left upper quadrant is consistent with what pathology? 
Bot: abscess
"
do you see a pleural effusion?,no,"User: do you see a pleural effusion? 
Bot: no
"
is this an ap image?,no,"User: is this an ap image? 
Bot: no
"
are the lesions in the image more or less dense than surrounding tissue?,more dense,"User: are the lesions in the image more or less dense than surrounding tissue? 
Bot: more dense
"
where is the lesion located?,left kidney,"User: where is the lesion located? 
Bot: left kidney
"
is the plane of section transverse?,yes,"User: is the plane of section transverse? 
Bot: yes
"
what can cause these findings on imaging?,"stones, cancer, infection, anatomic variants","User: what can cause these findings on imaging? 
Bot: stones, cancer, infection, anatomic variants
"
what is the hypodensity on the posteriolateral edge of the left kidney?,nephroblastomatosis,"User: what is the hypodensity on the posteriolateral edge of the left kidney? 
Bot: nephroblastomatosis
"
is there midline shift in this image?,yes,"User: is there midline shift in this image? 
Bot: yes
"
which organ has multiple lesions?,kidneys,"User: which organ has multiple lesions? 
Bot: kidneys
"
can a diagnosis of appendicitis be made from this image?,no,"User: can a diagnosis of appendicitis be made from this image? 
Bot: no
"
